target,position,sentence,hypernym,definition,label
spring,3,i spent my spring holidays in morocco ,season;time_of_year,the season of growth,T
home,0,home is where the heart is,environment,an environment offering affection and security,T
fish,3,in japan most fish is eaten raw,food;solid_food,the flesh of fish used as food,T
year,2,a normal year has full days but there are days in a leap year ,time_period;period_of_time;period,a period of time containing or days,T
air,6,there was a tension in the air which made me suspect an approaching storm ,gas,a mixture of gases especially oxygen required for breathing;the stuff that the wind consists of,T
way,7,he said he was looking for the way out,artifact;artefact,any artifact consisting of a road or path affording passage from one place to another,T
whole,4,europe considered as a whole,concept;conception;construct,all of something including all its component elements or parts,T
move,1,his move put him directly in my path,change,the act of changing location from one place to another,T
par,7,he needs to make this shot for par ,score, golf the standard number of strokes set for each hole on a golf course or for the entire course,T
side,5,he was on the heavy side,aspect;facet,an aspect of something as contrasted with some other implied aspect ,T
master,1,a master of the violin,artist;creative_person,an artist of consummate skill,T
eye,5,he has an artist is eye,sagacity;sagaciousness;judgment;judgement;discernment,good discernment either visually or as if visually ,T
civilization,7,a hermit does not much care for civilization ,society,a particular society at a particular time and place,T
word,4,can i have a word with you ,statement,a brief statement,T
life,3,while there is life there is hope,being;beingness;existence,the condition of living or the state of being alive,T
noise,9,during the firework display that ended the gala the noise reached decibels,sound,sound of any kind especially unintelligible or dissonant sound ,T
collector,8,that old piano is just a big dust collector ,person;individual;someone;somebody;mortal;soul,a person who collects things,T
size,11,i do not think we have the red one in your size ,property,the property resulting from being one of a series of graduated measurements as of clothing ,T
remission,4,her cancer was in remission ,suspension;respite;reprieve;hiatus;abatement,an abatement in intensity or degree as in the manifestations of a disease ,T
miasma,1,a miasma of cigar smoke,air_pollution,unhealthy vapors rising from the ground or other sources,T
loaf,1,sugar loaf,food;solid_food,a quantity of food other than bread formed in a particular shape,T
impact,8,our choice of concrete will have a tremendous impact on the building is mechanical performance ,consequence;effect;outcome;result;event;issue;upshot,a forceful consequence;a strong effect,T
flight,6,where is the departure gate for flight go straight down and to the right ,trip,a scheduled trip by plane between designated airports,T
command,5,general smith was placed in command ,authority;authorization;authorisation;potency;dominance;say-so,the power or authority to command,T
trial,9,he called each flip of the coin a new trial,attempt;effort;endeavor;endeavour;try,the act of testing something,T
development,4,they funded research and development,improvement,act of improving by expanding or enlarging or refining,T
drop,1,a drop of each sample was analyzed,small_indefinite_quantity;small_indefinite_amount,a small indefinite quantity especially of a liquid ,T
bankruptcy,1,moral bankruptcy,failure,a state of complete lack of some abstract property,T
origin,0,origin in sensation,source,the source of something is existence or from which it derives or is derived,T
period,2,hastened the period of time of his recovery,fundamental_quantity;fundamental_measure,an amount of time,T
bevy,5,he was surrounded by a bevy of beauties in bathing attire,gathering;assemblage,a large gathering of people of a particular type,T
image,1,the image of f x x is the set of all non negative real numbers if the domain of the function is the set of all real numbers,set, mathematics the set of values of the dependent variable for which a function is defined,T
chair,21,all i need to weather a snowstorm is hot coffee a warm fire a good book and a comfortable chair ,seat,a seat for one person with a support for the back,T
nationality,6,such images define their sense of nationality,people,people having common origins or traditions and often comprising a nation,T
head,1,the head of the column advanced boldly,formation,the front of a military formation or procession,T
fill,4,she had heard her fill of gossip,enough;sufficiency,a quantity sufficient to satisfy,T
tea,0,tea has fragrant white flowers,shrub;bush,a tropical evergreen shrub or small tree extensively cultivated in e g china and japan and india;source of tea leaves,T
head,3,they shot head of quail,domestic_animal;domesticated_animal,a single domestic animal,T
home,5,deliver the package to my home,residence;abode,where you live at a particular time,T
school,1,a school of small glittering fish swam by,animal_group,a large group of fish,T
picture,4,he described his mental picture of his assailant,image;mental_image,a clear and telling mental image,T
leak,6,he had to clean up the leak,discharge;outpouring;run,the discharge of a fluid from some container,T
concern,4,a racially integrated business concern,enterprise,a commercial or industrial enterprise and the people who constitute it,T
sampler,1,a sampler of french poets,assortment;mixture;mixed_bag;miscellany;miscellanea;variety;salmagundi;smorgasbord;potpourri;motley,an assortment of various samples,T
arousal,3,the mechanism for arousal from sleep,wakefulness,awakening from sleep,T
sum,2,a tidy sum,assets,a quantity of money,T
seat,11,he sat on the arm of the chair rather than the seat which always annoyed his mother ,furniture;piece_of_furniture;article_of_furniture,furniture that is designed for sitting on,T
time,7,okay but this is the last time no more after that ,case;instance;example,an instance or single occasion for some event,T
drag,7,he went to the party dressed in drag,clothing;article_of_clothing;vesture;wear;wearable;habiliment,clothing that is conventionally worn by the opposite sex especially women is clothing when worn by a man ,T
volume,7,the gas expanded to twice its original volume,measure;quantity;amount,the amount of dimensional space occupied by an object,T
light,8,i am really seeing you in a different light today ,friend,a person regarded very fondly,T
acquisition,1,the acquisition of wealth,acquiring;getting,the act of contracting or assuming or acquiring possession of something,T
reaction,8,the announcement of the verdict brought a violent reaction ,bodily_process;body_process;bodily_function;activity,a bodily process occurring due to the effect of some antecedent stimulus or agent,T
pool,5,the body lay in a pool of blood,body_of_water;water,a small body of standing water rainwater or other liquid,T
limitation,16,the lawyer obtained impunity by dragging his obviously guilty client is case beyond the years limitation,time_limit, law a time period after which suits cannot be brought,T
emission,1,the emission of light from the sun,egress;egression;emergence,the act of emitting;causing to flow forth,T
ulteriority,4,a terrible feeling of ulteriority,quality,the quality of being ulterior,T
moon,5,men first stepped on the moon in ,,the natural satellite of the earth,T
material,3,he was university material,applicant;applier,a person judged suitable for admission or employment,T
hegemony,7,the consolidation of the united states hegemony over a new international economic system,political_system;form_of_government,the dominance or leadership of one social group or nation over others,T
operation,8,they paid taxes on every stage of the operation,business_activity;commercial_activity,a business especially one run on a large scale,T
place,8,do you want to come over to my place later ,residence;abode,where you live at a particular time,T
process,1,the process of calcification begins later for boys than for girls,physical_entity,a sustained phenomenon or one marked by gradual changes through a series of states,T
feeder,2,a bark feeder,animal;animate_being;beast;brute;creature;fauna,an animal that feeds on a particular source of food,T
fish,7,they have a chef who specializes in fish,food;solid_food,the flesh of fish used as food,T
